Name,ID,Weight
Austin Reaves,1630559,3
Bob Burrow,76313,2
Dakari Johnson,1626177,1
Antoine Rigaudeau,2541,1
Ron Watts,78474,2
Nick Smith Jr.,1641733,1
George Grimshaw,76893,1
Sean Williams,201157,4
Mickey Rottner,78024,2
Rollen Hans,76939,2
Otto Porter Jr.,203490,11
De'Anthony Melton,1629001,6
Josh Davis,2668,4
Nelson Bobb,76190,4
Dan Schayes,7,18
LaMarcus Aldridge,200746,16
Antonis Fotsis,2238,1
Brad Miller,1802,14
Dick Cunningham,76485,7
Kevin Johnson,134,12
Bob Wilkerson,78531,7
Rich King,1101,4
Julian Strawther,1631124,1
Scott Sims,78161,1
Bart Kofoed,77294,5
Carl Henry,77001,1
Ted Manakas,77451,1
Jiri Welsch,2412,4
Ray Ragelis,77902,1
Bob Duffy,76610,3
Courtney Alexander,2042,3
Jesse Branson,76240,1
Bob Pettit,77847,11
Gary Freeman,76755,1
Luke Ridnour,2557,12
Tom Burleson,76305,7
Willie Cauley-Stein,1626161,7
Eddie Johnson,77144,10
Kay Felder,1627770,2
Paul McConnell,77514,1
Andres Nocioni,2804,8
Brandon Roy,200750,6
Mark Bryant,95,15
Roy Rogers,964,3
Leon Blevins,76186,1
Khyri Thomas,1629017,3
Mason Plumlee,203486,11
Deron Williams,101114,12
Greg Oden,201141,3
Otis Smith,78198,6
Estes Parham,77797,3
John Greig,76885,1
Ben Handlogten,1052,2
Bryan Warrick,78462,4
Jack Smiley,78177,2
Christian Koloko,1631132,1
Don Otten,77778,4
Johnny Davis,1631098,2
John Shasky,1117,3
Cody Zeller,203469,11
Michael Wiley,78527,2
Fred Roberts,122,13
Tom LaGarde,77328,6
Chris Smith,1814,3
DeVaughn Akoon-Purcell,1629152,1
Darryl Dawkins,76539,14
Sam Bowie,76217,10
Dick Ricketts,77955,3
Johnny Egan,76647,11
Paul Long,77406,3
Bill Smith,78209,1
Cedrick Hordges,77056,2
Kevinn Pinkney,200838,1
Earl Barron,2853,8
Stan McKenzie,77543,7
Trevor Hudgins,1631309,1
Amida Brimah,1628578,1
William Howard,1629739,1
Bob Carrington,76352,2
George Feigenbaum,76702,2
Bruno Fernando,1628981,5
Walt Williams,1005,11
Chet Walker,78435,13
Damian Lillard,203081,12
Travis Diener,101143,5
Fred Saunders,78065,4
Nate Hawthorne,76978,3
Trevor Ruffin,460,2
Tim James,1906,3
Jimmer Fredette,202690,6
Mark Price,899,12
Joe Dolhon,76581,2
Jose Alvarado,1630631,2
Ken Bannister,76094,5
Ryan Reid,202385,1
Jrue Holiday,201950,15
Alton Lister,175,16
Larry Nance,77685,13
Sly Williams,78570,7
Keon Ellis,1631165,2
Carl Shaeffer,78120,2
Brevin Knight,1510,12
Stephen Graham,101211,6
Ashraf Amaya,732,2
Clyde Mayes,77492,2
Eddie Johnson,698,17
Jamel Artis,1628503,1
Mickey Johnson,77168,12
Stanton Kidd,1629742,1
Joshua Primo,1630563,2
Joe Caldwell,76329,6
Rickey Brown,76283,5
Haywood Highsmith,1629312,4
Ernest Brown,2081,1
Vern Gardner,76779,3
Kyle Korver,2594,17
Mike Price,77884,3
Jared Harper,1629607,3
Eric Williams,677,12
Johnny Jones,77187,1
Joby Wright,78622,1
Danuel House Jr.,1627863,8
Aubrey Davis,76515,1
Dee Brown,200793,2
Tyrone Nesby,1838,4
Irv Bemoras,76145,2
Gary Payton,56,17
Tang Hamilton,2347,1
Harold Kottman,77304,1
Derrick Byars,201182,1
Mike O'Koren,77754,8
Mike Smrek,1091,7
Steven Adams,203500,10
Ausar Thompson,1641709,1
Brandon Bass,101138,12
Andres Guibert,76903,2
Shelton Jones,2652,1
Chris Corchiani,76450,3
Marcus Camby,948,17
Jason Richardson,2202,13
James Wiseman,1630164,3
Maurice Baker,2486,1
Ochai Agbaji,1630534,2
Wayne Robinson,77996,1
Willie Anderson,335,9
Hersey Hawkins,765,13
Joel Ingram,77095,1
Bob Tough,78360,2
Miles Simon,1750,1
John Mengelt,77580,10
Tarence Kinsey,200814,3
Wes Iwundu,1628411,5
Horace Grant,270,17
Odie Spears,78225,8
AJ Green,1631260,2
Leroy Chollet,76391,2
Pat Burke,2469,3
Bill Roberts,77979,2
Moses Brown,1629650,5
Keyon Dooling,2039,13
De'Aaron Fox,1628368,7
Ward Gibson,76811,1
Kosta Koufos,201585,11
Sarunas Jasikevicius,101180,2
Allen Leavell,77353,10
Keith Van Horn,1496,9
Mike Barr,76112,1
Aleem Ford,1630758,1
Arnoldas Kulboka,1629083,1
Andris Biedrins,2740,10
Trevon Bluiett,1629129,0
Georgios Papagiannis,1627834,2
Tony Dawson,76542,2
Joe Arlauckas,76057,1
Jordan Williams,202716,1
Paul Cloyd,76407,1
Dominique Jones,202346,3
Marquis Daniels,2605,10
Max Morris,77646,1
Mike Harper,76954,2
Bill Russell,78049,13
Tomas Satoransky,203107,6
Mike Brown,1479,11
Ike Anigbogu,1628387,2
Gary Voce,78419,1
DeMarco Johnson,1746,1
Cedric Hunter,77083,1
Ledell Eackles,289,7
Chuck Mencel,77579,2
Les Jepsen,77129,2
Greg Foster,323,13
Phil Farbman,76692,1
Bobby Cattage,76368,2
Isaac Humphries,1629353,1
Antonio Anderson,202079,1
Donnie Forman,76738,1
Patrick Williams,1630172,4
Charles Bassey,1629646,3
Gabe Vincent,1629216,5
Derrick Chievous,76387,3
Reggie Hearn,203687,1
Walter Bond,1603,3
Larry Spriggs,78233,5
Tom Van Arsdale,78399,12
Dwayne Bacon,1628407,4
Eddie Miles,77596,9
Petr Cornelie,1627822,1
Maurice Stokes,600016,3
Sasha Vujacic,2756,10
Marvin Barnes,76104,4
Myke Henry,1627988,1
Carlos Arroyo,2306,9
Clyde Drexler,17,15
Dante Exum,203957,7
Walt Lautenbach,77345,1
Nikola Pekovic,201593,6
Dick Gibbs,76807,5
Carl Nicks,77715,3
Andre Jackson Jr.,1641748,1
D.J. Wilson,1628391,5
Larry Jones,77200,2
Ronnie Price,101179,12
Orlando Johnson,203111,3
Bob Hansen,76942,9
Daniel Orton,202350,3
AJ Price,201985,6
Fred Cofield,76411,2
Donatas Motiejunas,202700,6
Brian Scalabrine,2243,11
Kim Anderson,76041,1
Cleveland Buckner,76295,2
Scottie Lewis,1630575,1
Isaiah Briscoe,1628515,1
Kyle Weaver,201602,3
Wes Matthews,77484,9
Cory Alexander,724,7
Raef LaFrentz,1711,10
Joe Thomas,78321,1
Kevin Burleson,101207,1
Michael Young,78634,3
Eric Mika,1628450,1
Greg Stokes,78264,2
Ozell Jones,77191,2
Collin Gillespie,1631221,1
Vincent Yarbrough,2428,1
Joseph Reiser,77938,3
Jason Hart,2078,9
Terance Mann,1629611,5
Jack Garfinkel,76780,3
Bob Quick,77892,4
Slavko Vranes,2582,1
Max Christie,1631108,2
Bud Grant,76850,2
John O'Boyle,77742,1
Wayne Kreklow,77312,1
Oscar Torres,2351,2
Markel Brown,203900,3
Rickie Winslow,1984,1
BJ Johnson,1629168,3
